ID,Metin_Turu,Veri 1,Veri 2,Veri 3,Veri 4,Veri 5,Açık Rıza Metni Taslağı
11,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Pozisyon Bilgisi,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Email, Pozisyon Bilgisi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
12,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Banka Hesap Bilgileri,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Email, Banka Hesap Bilgileri
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
13,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Ürün Tercihi,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Email, Ürün Tercihi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
14,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Satış Adedi,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Email, Satış Adedi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
15,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Müşteri Adı,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Email, Müşteri Adı
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
16,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Mezun Olduğu Okul,Çalışılan Şirket,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Mezun Olduğu Okul, Çalışılan Şirket
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
17,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Mezun Olduğu Okul,Pozisyon Bilgisi,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Mezun Olduğu Okul, Pozisyon Bilgisi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
18,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Mezun Olduğu Okul,Banka Hesap Bilgileri,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Mezun Olduğu Okul, Banka Hesap Bilgileri
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
19,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Mezun Olduğu Okul,Ürün Tercihi,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Mezun Olduğu Okul, Ürün Tercihi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
20,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Mezun Olduğu Okul,Satış Adedi,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Mezun Olduğu Okul, Satış Adedi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
21,Açık Rıza Metni,Ad/Soyad,TCKN,Telefon Numarası,Mezun Olduğu Okul,Müşteri Adı,"1. Veri Sorumlusunun Kimliği
Bu açık rıza metni, veri sorumlusu sıfatıyla .......... olay özelinde doldurunuz..................... (“Şirket”) tarafından hazırlanmıştır.
2. Açık Rızaya Konu Kişisel Veriler
Ad/Soyad, TCKN, Telefon Numarası, Mezun Olduğu Okul, Müşteri Adı
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
3. İşleme Amacı
Yukarıda belirtilen kişisel verileriniz, aşağıdaki amaç(lar) doğrultusunda, açık rızanıza dayanılarak işlenecektir:
• Amaç: …………olay özelinde doldurunuz.....................
4. Aktarım Amacı ve Alıcı Grupları
Kişisel verileriniz aşağıdaki alıcı gruplarına, belirtilen amaçlarla aktarılabilecektir:
• Alıcı Grubu: .......................... olay özelinde doldurunuz.....................
• Aktarım Amacı: ...................... olay özelinde doldurunuz.....................
5. Saklama Süresi
Kişisel verileriniz, ………….olay özelinde doldurunuz..................... süresince saklanacaktır.
6. Haklarınız
KVKK’nın 11. maddesi uyarınca;
• Kişisel verilerinizin işlenip işlenmediğini öğrenme,
• İşlenmişse buna ilişkin bilgi talep etme,
• İşlenme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• Kanunda öngörülen şartlar dâhilinde silinmesini veya yok edilmesini isteme,
• Bu işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
• Münhasıran otomatik sistemler vasıtasıyla analiz edilmesi sebebiyle aleyhinize bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme,
haklarına sahipsiniz.
7. Açık Rıza Beyanı
İşbu metni okuyup anladığımı; kişisel verilerimin yukarıda belirtilen kapsam, amaç ve şartlarla işlenmesine özgür irademle, açıkça ve bilerek rıza gösterdiğimi beyan ederim.
Ad Soyad	Tarih	İmza
........	....	...."
